Variable,Category,Percent
Age,18-24,38
,25-34,41.5
,35-44,20.5
Education,Low & middle (below tertiary),56.8
,High (tertiary degree or above),42.3
Marital/partnership status,Single,70.2
,Married or cohabiting,29.8
,Separated/divorced/widowed,0
Self-rated health,Poor,5.5
,Fair,14.6
,Good/excellent,58.9
Political party support,Conservative,36.5
,Labour,63.5
,Other party,0
,No political orientation,0
EU referendum vote (2016),Remain,81.4
,Leave,18.6
First birth (per person-month),Event rate,0.504
Number of person-months,Full analytical sample,152163
Number of women,,4395
Observation period,,NA
